"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"1321",1292,"Ferit Faik Sahenk ",58,"Turkey","diversified","Diversified ","$2.4 B","$3 B","$2.3 B",NA,"$2.4 B","$2.10 B","$2.40 B","$2.50 B"
"1322",1292,"Hilton Schlosberg ",69,"United Kingdom","energy drinks","Food & Beverage ","$2.4 B","$2.8 B","$1.9 B",NA,"$2 B","$1.50 B","$1.30 B","$1.40 B"
"1323",1292,"Alberto Siccardi & family ",77,"Switzerland","medical devices","Healthcare ","$2.4 B","$2.2 B","$1.3 B",NA,NA,NA,NA,NA
"1324",1292,"Salil Singhal ",74,"India","agrochemicals","Manufacturing ","$2.4 B","$2.2 B","$1.2 B",NA,NA,NA,NA,NA
"1325",1292,"Lucy Stitzer ",62,"United States","Cargill","Food & Beverage ","$2.4 B","$1.7 B","$1.3 B",NA,"$2 B","$1.90 B","$1.50 B","$1.60 B"
"1326",1292,"Otto Toto Sugiri ",68,"Indonesia","data centers","Technology ","$2.4 B",NA,NA,NA,NA,NA,NA,NA
"1327",1292,"Harley Sy ",62,"Philippines","diversified","Diversified ","$2.4 B","$2.7 B","$1.9 B",NA,NA,NA,NA,NA
"1328",1292,"Teresita Sy-Coson ",71,"Philippines","diversified","Diversified ","$2.4 B","$2.7 B","$1.8 B",NA,NA,NA,NA,NA
"1329",1292,"Katsumi Tada ",76,"Japan","real estate","Real Estate ","$2.4 B","$2.3 B","$2.4 B",NA,"$2.1 B","$1.70 B","$1.60 B","$1.50 B"
"1330",1292,"Tang Yiu ",88,"Hong Kong","fashion retail","Fashion & Retail ","$2.4 B","$2.2 B","$2.2 B",NA,"$2.3 B","$2.30 B","$2.30 B","$3.10 B"
"1331",1292,"Jeff Tangney ",49,"United States","healthcare IT","Healthcare ","$2.4 B",NA,NA,NA,NA,NA,NA,NA
"1332",1292,"Lottie Tham & family ",72,"Sweden","H&M","Fashion & Retail ","$2.4 B","$3.3 B","$1.8 B",NA,NA,NA,NA,NA
"1333",1292,"T.Y. Tsai ",69,"Taiwan","finance","Finance & Investments ","$2.4 B","$2.4 B","$2.2 B",NA,"$2.2 B","$2.10 B","$2.00 B","$2.10 B"
"1334",1292,"Timur Turlov ",34,"Russia","stock brokerage","Finance & Investments ","$2.4 B","$2.1 B",NA,NA,NA,NA,NA,NA
"1335",1292,"Hamdi Ulukaya ",49,"Turkey","greek yogurt","Food & Beverage ","$2.4 B","$2 B","$1.8 B",NA,"$1.8 B","$1.70 B","$1.80 B","$1.40 B"
"1336",1292,"Peter Unger ",77,"Germany","auto repair","Automotive ","$2.4 B","$2.5 B","$2.5 B",NA,"$2.4 B","$2.00 B","$2.00 B","$1.80 B"
"1337",1292,"Nikil Viswanathan ",34,"United States","blockchain technology","Technology ","$2.4 B",NA,NA,NA,NA,NA,NA,NA
"1338",1292,"Anthony Wood ",56,"United States","Roku","Technology ","$2.4 B","$7.1 B","$1.6 B",NA,NA,NA,NA,NA
"1339",1292,"Zhang Hongwei ",67,"China","oil, banking","Diversified ","$2.4 B","$3.6 B","$3.5 B",NA,"$1.5 B",NA,NA,"$1.60 B"
"1340",1292,"Zhang Li ",69,"China","real estate","Real Estate ","$2.4 B","$3.2 B","$2.6 B",NA,"$3.6 B","$2.10 B","$1.70 B","$1.80 B"
"1341",1341,"Houshan Bai ",58,"China","lithium battery","Energy ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1342",1341,"Alex Beard ",54,"United Kingdom","mining, commodities","Metals & Mining ","$2.3 B","$1.5 B",NA,NA,"$1.8 B","$1.40 B",NA,"$1.60 B"
"1343",1341,"Koos Bekker ",69,"South Africa","media, investments","Media & Entertainment ","$2.3 B","$3 B","$2 B",NA,"$2.6 B","$2.10 B","$1.40 B","$2.30 B"
"1344",1341,"William Boyd & family ",90,"United States","casinos, banking","Gambling & Casinos ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1345",1341,"Timothy Boyle ",72,"United States","Columbia Sportswear","Fashion & Retail ","$2.3 B","$2.7 B","$1.7 B",NA,"$2.2 B","$1.70 B","$1.70 B","$1.50 B"
"1346",1341,"Anand Burman ",69,"India","consumer goods","Food & Beverage ","$2.3 B","$2.3 B","$1.8 B",NA,"$1.8 B","$1.40 B","$1.30 B","$1.40 B"
"1347",1341,"Richard Chandler ",63,"New Zealand","investments","Finance & Investments ","$2.3 B","$2.4 B","$2.9 B",NA,"$2.1 B","$1.90 B","$2.70 B","$3.00 B"
"1348",1341,"R.G. Chandramogan ",73,"India","dairy","Food & Beverage ","$2.3 B","$1.7 B",NA,NA,"$1.4 B",NA,NA,NA
"1349",1341,"Cho Young-sik ",60,"South Korea","diagnostics","Healthcare ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1350",1341,"Chu Lam Yiu ",52,"Hong Kong","flavorings","Manufacturing ","$2.3 B","$3.6 B","$1.9 B",NA,"$2.4 B","$1.90 B","$1.70 B","$2.20 B"
"1351",1341,"Kommer Damen ",78,"Netherlands","shipbuilding","Manufacturing ","$2.3 B","$1.8 B","$1.5 B",NA,"$1.8 B","$1.60 B","$1.70 B","$1.50 B"
"1352",1341,"Henry Davis ",71,"United States","beef processing","Food & Beverage ","$2.3 B","$1.1 B","$1.1 B",NA,"$1 B",NA,NA,NA
"1353",1341,"Ray Davis ",80,"United States","pipelines","Energy ","$2.3 B","$2.1 B","$1.7 B",NA,"$2.7 B","$2.70 B","$1.70 B","$3.10 B"
"1354",1341,"Stephen Feinberg ",62,"United States","private equity","Finance & Investments ","$2.3 B","$2.4 B","$1.5 B",NA,"$1.6 B","$1.20 B","$1.10 B","$1.30 B"
"1355",1341,"Kenneth Feld & family ",73,"United States","live entertainment","Media & Entertainment ","$2.3 B","$2 B","$2 B",NA,NA,NA,NA,NA
"1356",1341,"Alexander Frolov ",57,"Russia","mining, steel","Metals & Mining ","$2.3 B","$3.4 B","$2.4 B",NA,"$2.2 B","$1.80 B","$1.50 B","$1.80 B"
"1357",1341,"Mario Germano Giuliani ",50,"Switzerland","pharmaceuticals","Healthcare ","$2.3 B","$2.3 B",NA,NA,NA,NA,NA,NA
"1358",1341,"Serge Godin ",72,"Canada","information technology","Technology ","$2.3 B","$2.2 B","$1.4 B",NA,"$1.7 B","$1.50 B","$1.20 B","$1.20 B"
"1359",1341,"Noam Gottesman ",60,"United States","hedge funds","Finance & Investments ","$2.3 B","$2.3 B","$2.6 B",NA,"$2.5 B","$2.30 B","$2.20 B","$2.10 B"
"1360",1341,"Philip & Cristina Green ",70,"United Kingdom","fashion retail","Fashion & Retail ","$2.3 B","$2.4 B","$2.1 B",NA,"$4.8 B","$4.80 B","$5.90 B","$5.10 B"
"1361",1341,"Yusuf Hamied ",85,"India","pharmaceuticals","Healthcare ","$2.3 B","$1.9 B",NA,NA,"$1.7 B","$1.50 B","$1.30 B","$1.80 B"
"1362",1341,"Bill Haslam ",63,"United States","gas stations","Fashion & Retail ","$2.3 B","$1.9 B","$1.6 B",NA,"$2.3 B","$2.60 B","$1.60 B","$1.90 B"
"1363",1341,"Hans-Werner Hector ",82,"Germany","SAP","Technology ","$2.3 B","$2.5 B","$2.2 B",NA,"$2.2 B","$1.40 B","$1.40 B","$1.70 B"
"1364",1341,"Ho Hung Anh ",51,"Vietnam","consumer products, banking","Finance & Investments ","$2.3 B","$1.6 B","$1 B",NA,NA,NA,NA,NA
"1365",1341,"Douglas Hsu ",79,"Taiwan","diversified","Diversified ","$2.3 B","$2.4 B","$1.5 B",NA,"$1.2 B",NA,NA,"$1.40 B"
"1366",1341,"Erman Ilicak ",54,"Turkey","construction","Construction & Engineering ","$2.3 B","$4.4 B","$3.1 B",NA,"$4 B","$2.30 B","$2.00 B","$2.20 B"
"1367",1341,"Zhaobai Jiang ",58,"China","real estate","Real Estate ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1368",1341,"Osman Kibar ",51,"United States","biotech","Healthcare ","$2.3 B","$2.9 B","$1.4 B",NA,"$2.8 B","$2.00 B",NA,NA
"1369",1341,"Adam Kwok ",39,"Hong Kong","real estate","Real Estate ","$2.3 B","$2.6 B","$2.1 B",NA,NA,NA,NA,NA
"1370",1341,"Frank Laukien ",62,"United States","scientific equipment","Manufacturing ","$2.3 B","$2.1 B","$1.3 B",NA,"$1.1 B",NA,NA,NA
"1371",1341,"Louis Le Duff ",75,"France","bakeries","Food & Beverage ","$2.3 B","$3 B","$1.4 B",NA,"$2.9 B","$2.60 B","$2.50 B","$2.20 B"
"1372",1341,"Solomon Lew ",77,"Australia","retail","Fashion & Retail ","$2.3 B","$2 B","$1.2 B",NA,"$1.3 B","$1.20 B",NA,"$1.00 B"
"1373",1341,"Liang Rubo ",39,"China","TikTok","Technology ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1374",1341,"Liang Zhaoxian ",57,"China","appliances","Manufacturing ","$2.3 B","$2.3 B","$1.1 B",NA,"$1 B","$1.50 B",NA,"$1.10 B"
"1375",1341,"Prayudh Mahagitsiri ",76,"Thailand","coffee, shipping","Food & Beverage ","$2.3 B","$2.1 B","$1.5 B",NA,"$1.7 B","$1.10 B",NA,NA
"1376",1341,"Clayton Mathile ",81,"United States","pet food","Food & Beverage ","$2.3 B","$2.3 B","$2.3 B",NA,"$2.3 B","$3.80 B","$3.30 B","$3.40 B"
"1377",1341,"Erwin Franz Mueller ",89,"Germany","drugstores","Fashion & Retail ","$2.3 B","$2.4 B","$2.7 B",NA,"$2.9 B","$3.00 B","$3.00 B","$2.40 B"
"1378",1341,"David Murdock ",98,"United States","Dole, real estate","Food & Beverage ","$2.3 B","$2.1 B","$2 B",NA,"$2.1 B","$2.70 B","$2.70 B","$3.10 B"
"1379",1341,"Rubens Ometto Silveira Mello ",72,"Brazil","sugar, ethanol","Energy ","$2.3 B","$1.6 B",NA,NA,"$1.4 B","$1.40 B",NA,"$1.40 B"
"1380",1341,"Erik Paulsson & family ",80,"Sweden","construction, real estate","Real Estate ","$2.3 B","$2.1 B","$1.3 B",NA,NA,NA,NA,NA
"1381",1341,"Heloise Pratt ",59,"Australia","manufacturing, investment","Manufacturing ","$2.3 B","$2.8 B","$1.3 B",NA,"$2.1 B",NA,NA,NA
"1382",1341,"Qiu Jianping & family ",60,"China","hand tools","Manufacturing ","$2.3 B","$3.8 B","$1.4 B",NA,NA,NA,NA,NA
"1383",1341,"Dirk Rossmann & family ",75,"Germany","drugstores","Fashion & Retail ","$2.3 B","$3.8 B","$3.3 B",NA,NA,NA,NA,NA
"1384",1341,"Karin Schick ",64,"Germany","information technology","Technology ","$2.3 B","$2.8 B","$1.4 B",NA,"$1.3 B",NA,NA,NA
"1385",1341,"Stephan Schmidheiny ",74,"Switzerland","investments","Finance & Investments ","$2.3 B","$2.3 B","$2.3 B",NA,"$2.5 B","$2.70 B","$3.00 B","$3.30 B"
"1386",1341,"Wenrong Shen ",76,"China","steel production","Metals & Mining ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1387",1341,"Guangxin Sun ",59,"China","diversified","Diversified ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1388",1341,"Mengquan Sun & family ",72,"China","edible oil","Food & Beverage ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1389",1341,"Thomas Tull ",51,"United States","movies, investments","Media & Entertainment ","$2.3 B","$1.2 B","$1.2 B",NA,"$1.2 B","$1.10 B","$1.10 B",NA
"1390",1341,"Ted Turner ",83,"United States","cable television","Media & Entertainment ","$2.3 B","$2.3 B","$2.1 B",NA,"$2.2 B","$2.30 B","$2.20 B","$2.20 B"
"1391",1341,"David Walentas ",83,"United States","real estate","Real Estate ","$2.3 B","$2.2 B","$2.3 B",NA,"$2.1 B","$2.00 B","$2.00 B","$1.80 B"
"1392",1341,"Yingming Wu ",55,"China","batteries","Energy ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1393",1341,"Yingzhuo Xu ",54,"China","agribusiness","Food & Beverage ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1394",1341,"Christoph Zeller ",64,"Liechtenstein","dental materials","Healthcare ","$2.3 B","$5.5 B","$3.3 B",NA,"$3.9 B","$2.70 B","$2.50 B","$2.70 B"
"1395",1341,"Zhang Wanzhen ",72,"China","electronics components","Manufacturing ","$2.3 B","$2.7 B","$1.3 B",NA,"$1.4 B","$1.20 B","$1.00 B",NA
"1396",1341,"Xiaojuan Zhang ",52,"China","logistics","Logistics ","$2.3 B",NA,NA,NA,NA,NA,NA,NA
"1397",1397,"Michael Ashcroft ",76,"United Kingdom","security","Finance & Investments ","$2.2 B","$2.1 B","$1.7 B",NA,"$1.7 B","$1.60 B","$1.50 B","$1.50 B"
"1398",1397,"Alex Atallah ",30,"United States","online marketplace","Technology ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1399",1397,"Brett Blundy ",62,"Australia","retail, agribusiness","Fashion & Retail ","$2.2 B","$2 B","$1.1 B",NA,"$1.2 B",NA,NA,NA
"1400",1397,"Chris Britt ",49,"United States","fintech","Finance & Investments ","$2.2 B","$1.3 B",NA,NA,NA,NA,NA,NA
"1401",1397,"Cen Junda ",57,"China","pharmaceuticals","Healthcare ","$2.2 B","$11.6 B","$6.1 B",NA,NA,NA,NA,NA
"1402",1397,"Yadu Hari Dalmia & family ",74,"India","cement","Manufacturing ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1403",1397,"Zhenggang Dou ",68,"China","energy, chemicals","Diversified ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1404",1397,"Weimin Du ",58,"China","vaccines","Healthcare ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1405",1397,"Devin Finzer ",31,"United States","online marketplace","Technology ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1406",1397,"Robert Friedland ",71,"United States","mining","Metals & Mining ","$2.2 B","$1.7 B",NA,NA,"$1.2 B","$1.30 B",NA,NA
"1407",1397,"Phillip Frost ",85,"United States","pharmaceuticals","Healthcare ","$2.2 B","$2.5 B","$1.5 B",NA,"$2.6 B","$3.60 B","$3.70 B","$4.70 B"
"1408",1397,"Jeffrey Gundlach ",63,"United States","investments","Finance & Investments ","$2.2 B","$2.2 B","$2.1 B",NA,"$1.9 B","$1.60 B","$1.40 B","$1.10 B"
"1409",1397,"John Hancock ",46,"Australia","mining","Metals & Mining ","$2.2 B","$1.7 B",NA,NA,"$1.3 B",NA,NA,NA
"1410",1397,"Georg Haub ",60,"Germany","retail","Fashion & Retail ","$2.2 B","$2.7 B","$2.7 B",NA,NA,NA,NA,NA
"1411",1397,"Hortensia Herrero ",71,"Spain","supermarkets","Fashion & Retail ","$2.2 B","$2.6 B","$2.3 B",NA,"$2.4 B","$2.80 B","$2.70 B","$2.80 B"
"1412",1397,"B. Wayne Hughes, Jr. ",61,"United States","storage facilities","Real Estate ","$2.2 B","$1.6 B","$1.3 B",NA,"$1.2 B","$1.30 B","$1.40 B","$1.30 B"
"1413",1397,"Bruce Karsh ",66,"United States","private equity","Finance & Investments ","$2.2 B","$2.1 B","$2.2 B",NA,"$2 B","$2.00 B","$1.90 B","$2.10 B"
"1414",1397,"Shlomo Kramer ",56,"Israel","software, investments","Technology ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1415",1397,"Jonathan Kwok ",30,"Hong Kong","Real Estate","Real Estate ","$2.2 B","$2.4 B","$2 B",NA,NA,NA,NA,NA
"1416",1397,"Christian Latouche ",81,"France","accounting services","Finance & Investments ","$2.2 B","$1.5 B","$2.1 B",NA,"$2.1 B","$1.60 B",NA,NA
"1417",1397,"Martin Lau ",49,"Hong Kong","e-commerce","Technology ","$2.2 B","$4.2 B","$2 B",NA,"$2.3 B","$1.10 B",NA,NA
"1418",1397,"Li Wa ",56,"Hong Kong","real estate","Real Estate ","$2.2 B","$6.1 B","$3.7 B",NA,"$3.8 B","$2.40 B","$1.40 B",NA
"1419",1397,"Liang Xinjun ",54,"China","conglomerate","Diversified ","$2.2 B","$2.2 B","$2.4 B",NA,"$3.1 B","$2.30 B","$1.90 B","$2.10 B"
"1420",1397,"Lin Chang Su-O ",81,"Taiwan","real estate","Real Estate ","$2.2 B","$2.2 B","$2 B",NA,NA,NA,NA,NA
"1421",1397,"Lin Fanlian ",60,"China","energy, real estate","Energy ","$2.2 B","$2.2 B","$1.8 B",NA,"$1.3 B",NA,NA,NA
"1422",1397,"Lin Lairong & family ",53,"China","iron ore mining","Metals & Mining ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1423",1397,"Daniel Lubetzky ",53,"United States","snack bars","Food & Beverage ","$2.2 B","$2.1 B","$1.2 B",NA,NA,NA,NA,NA
"1424",1397,"Howard Marks ",75,"United States","private equity","Finance & Investments ","$2.2 B","$2.1 B","$2.2 B",NA,"$2 B","$2.00 B","$1.90 B","$2.10 B"
"1425",1397,"Craig McCaw ",72,"United States","telecom","Telecom ","$2.2 B","$2 B","$1.8 B",NA,"$1.7 B","$1.80 B","$1.70 B","$1.80 B"
"1426",1397,"Vincent McMahon ",76,"United States","entertainment","Sports ","$2.2 B","$2.1 B","$1.8 B",NA,"$1.7 B","$1.30 B",NA,NA
"1427",1397,"Mu Rongjun ",42,"China","e-commerce","Technology ","$2.2 B","$5.5 B","$1.2 B",NA,NA,NA,NA,NA
"1428",1397,"Jonathan Nelson ",65,"United States","private equity","Finance & Investments ","$2.2 B","$2 B","$1.8 B",NA,"$2 B","$2.00 B","$1.80 B","$2.10 B"
"1429",1397,"Bianca Rinehart ",45,"Australia","mining","Metals & Mining ","$2.2 B","$1.7 B",NA,NA,"$1.3 B",NA,NA,NA
"1430",1397,"Ginia Rinehart ",35,"Australia","mining","Metals & Mining ","$2.2 B","$1.7 B",NA,NA,"$1.3 B",NA,NA,NA
"1431",1397,"Filiz Sahenk ",55,"Turkey","diversified","Diversified ","$2.2 B","$2.8 B","$2.1 B",NA,"$2.3 B","$1.90 B","$1.50 B","$2.20 B"
"1432",1397,"S.D. Shibulal ",67,"India","software services","Technology ","$2.2 B","$1.9 B","$1.1 B",NA,"$1.2 B","$1.10 B","$1.10 B","$1.20 B"
"1433",1397,"Alexander Svetakov ",54,"Russia","real estate","Finance & Investments ","$2.2 B","$2 B","$2 B",NA,"$3.3 B","$3.30 B","$2.90 B","$3.10 B"
"1434",1397,"Jeffrey Talpins ",47,"United States","hedge fund","Finance & Investments ","$2.2 B","$2.1 B","$1.7 B",NA,NA,NA,NA,NA
"1435",1397,"Ming Tian ",68,"China","measuring instruments","Technology ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1436",1397,"Arvind Tiku ",52,"India","oil & gas, investments","Energy ","$2.2 B","$2 B","$2.2 B",NA,"$2 B","$1.80 B",NA,NA
"1437",1397,"Torsten Toeller ",55,"Germany","pet food","Fashion & Retail ","$2.2 B","$2.5 B","$1 B",NA,"$1.7 B","$1.80 B","$1.70 B","$1.70 B"
"1438",1397,"Riaz Valani ",45,"United States","e-cigarettes","Finance & Investments ","$2.2 B",NA,NA,NA,NA,NA,NA,NA
"1439",1397,"Pieter van der Does ",52,"Netherlands","payments software","Technology ","$2.2 B","$2.6 B","$1 B",NA,NA,NA,NA,NA
"1440",1397,"Lang Walker ",76,"Australia","real estate","Real Estate ","$2.2 B","$2.3 B","$1.2 B",NA,"$2.2 B","$1.30 B","$1.10 B","$1.10 B"
"1441",1397,"Hope Welker ",36,"Australia","mining","Metals & Mining ","$2.2 B","$1.7 B",NA,NA,"$1.3 B",NA,NA,NA
"1442",1397,"Xie Bingkun & family ",55,"China","pearlescent pigments","Fashion & Retail ","$2.2 B","$1.6 B",NA,NA,NA,NA,NA,NA
"1443",1397,"William Young ",81,"United States","plastics","Manufacturing ","$2.2 B","$2 B","$2.1 B",NA,"$2.2 B","$2.10 B","$1.50 B","$1.40 B"
"1444",1397,"Zhou Jian ",45,"China","solar energy equipment","Energy ","$2.2 B","$1.5 B","$1.5 B",NA,NA,NA,NA,NA
"1445",1445,"Bill and Jean Adderley & family ",64,"United Kingdom","home furnishings","Fashion & Retail ","$2.1 B","$2.3 B",NA,NA,NA,NA,NA,NA
"1446",1445,"Mohamed Al Fayed ",93,"Egypt","retail, investments","Fashion & Retail ","$2.1 B","$1.8 B","$1.4 B",NA,"$1.6 B","$1.80 B","$1.90 B","$2.00 B"
"1447",1445,"Faisal Bin Qassim Al Thani ",74,"Qatar","hotels, diversified","Diversified ","$2.1 B","$1.6 B","$1.2 B",NA,"$1.6 B","$2.40 B","$2.00 B",NA
"1448",1445,"Masaaki Arai ",56,"Japan","home sales","Real Estate ","$2.1 B","$2 B",NA,NA,NA,NA,NA,NA
"1449",1445,"Tatyana Bakalchuk ",46,"Russia","ecommerce","Fashion & Retail ","$2.1 B","$13 B","$1 B",NA,NA,NA,NA,NA
"1450",1445,"Lee Bass ",65,"United States","oil, investments","Energy ","$2.1 B","$1.9 B","$1.8 B",NA,"$2.5 B","$2.90 B","$1.80 B","$2.00 B"
"1451",1445,"Alberto Bombassei ",81,"Italy","automotive brakes","Automotive ","$2.1 B","$2.4 B",NA,NA,NA,NA,"$1.60 B","$1.50 B"
"1452",1445,"Jim Breyer ",60,"United States","venture capital","Technology ","$2.1 B","$2.5 B","$2.3 B",NA,"$3 B","$2.80 B","$2.40 B","$2.10 B"
"1453",1445,"Ron Burkle ",69,"United States","supermarkets, investments","Finance & Investments ","$2.1 B","$1.5 B","$1.4 B",NA,"$2 B","$1.50 B","$1.50 B","$2.60 B"
"1454",1445,"Chen Huwen ",51,"China","stationery","Manufacturing ","$2.1 B","$2.8 B","$1.6 B",NA,NA,NA,NA,NA
"1455",1445,"Chen Huxiong ",51,"China","stationery","Manufacturing ","$2.1 B","$2.8 B","$1.5 B",NA,NA,NA,NA,NA
"1456",1445,"Chen Xuehua ",61,"China","nonferrous","Metals & Mining ","$2.1 B","$1.6 B",NA,NA,NA,NA,NA,NA
"1457",1445,"Bruce Cheng ",86,"Taiwan","electronics","Technology ","$2.1 B","$2.2 B",NA,NA,"$1.3 B","$1.40 B","$1.00 B","$1.60 B"
"1458",1445,"Ryan Cohen ",36,"Canada","investments","Finance & Investments ","$2.1 B","$1.6 B",NA,NA,NA,NA,NA,NA
"1459",1445,"Dermot Desmond ",71,"Ireland","finance","Finance & Investments ","$2.1 B","$2.2 B","$2 B",NA,"$2.3 B","$2.00 B","$1.90 B","$1.80 B"
"1460",1445,"Fred Ehrsam ",33,"United States","cryptocurrency exchange","Finance & Investments ","$2.1 B","$1.9 B",NA,NA,NA,NA,NA,NA
"1461",1445,"John Elkann ",46,"Italy","FIAT, investments","Finance & Investments ","$2.1 B","$2 B",NA,NA,NA,NA,NA,NA
"1462",1445,"Bob Ell ",77,"Australia","real estate","Real Estate ","$2.1 B","$2.3 B","$1.2 B",NA,"$1.4 B","$1.30 B","$1.30 B",NA
"1463",1445,"Fang Xiaoliang & family ",63,"China","biotech","Healthcare ","$2.1 B",NA,NA,NA,NA,NA,NA,NA
"1464",1445,"Lindsay Fox ",84,"Australia","logistics, real estate","Logistics ","$2.1 B","$2.3 B","$2.2 B",NA,"$3.4 B","$3.20 B","$2.90 B","$2.80 B"
"1465",1445,"Gary Friedman ",64,"United States","Furniture retail","Fashion & Retail ","$2.1 B","$2.8 B",NA,NA,NA,NA,NA,NA
"1466",1445,"Gordon Getty ",88,"United States","Getty Oil","Energy ","$2.1 B","$2.1 B","$2.1 B","$3.98 B","$2.1 B","$2.10 B","$2.10 B","$2.10 B"
"1467",1445,"Dennis Gillings ",77,"United Kingdom","clinical trials","Healthcare ","$2.1 B","$2 B","$1.4 B",NA,"$1.2 B",NA,NA,NA
"1468",1445,"Harsh Goenka ",64,"India","diversified","Diversified ","$2.1 B","$2.3 B","$1.5 B",NA,"$2.3 B","$1.70 B","$1.30 B","$1.30 B"
"1469",1445,"David Hains ",91,"Australia","Investments","Finance & Investments ","$2.1 B","$2.3 B","$1.7 B",NA,"$2.1 B","$2.00 B","$1.90 B","$2.00 B"
"1470",1445,"Bahaa Hariri ",55,"Lebanon","real estate, investments","Real Estate ","$2.1 B","$2 B","$2 B",NA,"$2.1 B","$2.20 B","$2.20 B","$2.30 B"
"1471",1445,"Shmuel Harlap ",77,"Israel","automotive","Automotive ","$2.1 B","$1.9 B","$1.6 B",NA,"$1.9 B",NA,NA,NA
"1472",1445,"Gerry Harvey ",82,"Australia","retail","Fashion & Retail ","$2.1 B","$2.2 B","$1 B",NA,"$1.7 B","$1.80 B","$1.40 B","$1.30 B"
"1473",1445,"Reid Hoffman ",54,"United States","LinkedIn","Technology ","$2.1 B","$2 B","$1.8 B",NA,"$3.3 B","$3.10 B","$2.40 B","$4.70 B"
"1474",1445,"Hou Juncheng ",57,"China","cosmetics","Healthcare ","$2.1 B","$2 B","$1.1 B",NA,NA,NA,NA,NA
"1475",1445,"Thomas James ",79,"United States","finance","Finance & Investments ","$2.1 B","$1.8 B","$1.1 B",NA,"$1.2 B","$1.10 B",NA,NA
"1476",1445,"Eiichi Kuriwada ",75,"Japan","package delivery","Logistics ","$2.1 B","$2.3 B","$1.1 B",NA,"$1.2 B",NA,NA,NA
"1477",1445,"Kwek Leng Kee ",67,"Singapore","diversified","Diversified ","$2.1 B","$2.2 B","$2.4 B",NA,NA,NA,NA,NA
"1478",1445,"Lai Shixian ",47,"China","sports apparel","Fashion & Retail ","$2.1 B","$2.6 B","$1 B",NA,NA,NA,NA,NA
"1479",1445,"Lau Cho Kun ",86,"Malaysia","palm oil, property","Diversified ","$2.1 B","$2.2 B","$1.7 B",NA,"$2.6 B","$2.10 B","$1.60 B","$1.10 B"
"1480",1445,"Lee Hae-jin ",54,"South Korea","Internet","Technology ","$2.1 B","$2.5 B","$1.1 B",NA,"$1.2 B","$1.10 B",NA,NA
"1481",1445,"Harald Link ",67,"Thailand","diversified","Diversified ","$2.1 B","$3.1 B","$2.2 B",NA,"$2 B","$1.10 B",NA,NA
"1482",1445,"Liu Xiucai & family ",65,"United States","chemicals","Manufacturing ","$2.1 B","$1.5 B",NA,NA,NA,NA,NA,NA
"1483",1445,"Yangyong Luo & family ",46,"China","mining","Metals & Mining ","$2.1 B",NA,NA,NA,NA,NA,NA,NA
"1484",1445,"Igor Makarov ",60,"Russia","investments","Energy ","$2.1 B","$2.1 B","$2.1 B",NA,"$2.1 B","$2.10 B","$2.10 B","$2.10 B"
"1485",1445,"Alexander Mamut ",62,"Russia","investments","Finance & Investments ","$2.1 B","$2.3 B","$2.3 B",NA,"$2.4 B","$2.50 B","$2.40 B","$2.50 B"
"1486",1445,"David Mindus ",50,"Sweden","real estate","Real Estate ","$2.1 B","$1.6 B",NA,NA,NA,NA,NA,NA
"1487",1445,"Yuji Otsuka ",68,"Japan","copy machines, software","Technology ","$2.1 B","$2.6 B",NA,NA,NA,NA,NA,NA
"1488",1445,"Clive Palmer ",68,"Australia","mining","Metals & Mining ","$2.1 B","$3.8 B","$2.8 B",NA,NA,NA,NA,NA
"1489",1445,"Ajay Parekh ",64,"India","adhesives","Manufacturing ","$2.1 B","$1.6 B","$1.4 B",NA,NA,NA,NA,NA
"1490",1445,"Narendrakumar Parekh ",83,"India","adhesives","Manufacturing ","$2.1 B","$1.7 B","$1.4 B",NA,NA,NA,NA,NA
"1491",1445,"Xiangdong Qi ",51,"China","software","Technology ","$2.1 B",NA,NA,NA,NA,NA,NA,NA
"1492",1445,"Jianhua Ren ",65,"China","kitchen appliances","Manufacturing ","$2.1 B",NA,NA,NA,NA,NA,NA,NA
"1493",1445,"Alice Schwartz ",95,"United States","biotech","Healthcare ","$2.1 B","$2.4 B","$1.5 B",NA,"$1 B",NA,NA,NA
